"","shopname","lat","lng","addr","telephone"
"46",선릉세화빌딩,37.50377562,127.051196,서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동),1522-3232
"47",압구정역,37.52674095,127.0281105,서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동),1522-3232
"48",압구정로,37.52680046,127.0347174,서울특별시 강남구 압구정로42길 32 (신사동),1522-3232
"49",구역삼사거리,37.49592355,127.0388645,서울특별시 강남구 논현로 401 (역삼동),1522-3232
"50",큰길타워,37.50236693,127.0407,서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동),1522-3232
"51",강남구청역,37.5165849,127.04124330000002,서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동),1522-3232
"52",대치역,37.493554,127.061874,서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동),1522-3232
"53",포이,37.47781106,127.0451411,서울특별시 강남구 논현로 88 (개포동),1522-3232
"54",아크플레이스,37.49971982,127.0349084,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232
"55",학여울역,37.49803646,127.0684943,서울특별시 강남구 영동대로 215 (대치동),1522-3232
"56",선정릉역,37.51075489999999,127.04455970000003,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,1522-3232
"57",삼성현대힐,37.51354184,127.0527183,서울특별시 강남구 삼성로 605 (삼성동),1522-3232
"58",GS타워,37.5018592,127.03727759999992,서울특별시 강남구 논현로 508 (역삼동),1522-3232
"59",압구정미소,37.52405601,127.027915,서울특별시 강남구 논현로 841 (신사동),1522-3232
"60",선릉역,37.50393894,127.0485135,서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동),1522-3232
"61",수서,37.48801132,127.1017508,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,1522-3232
"62",코엑스사거리,37.515351,127.060109,서울특별시 강남구 영동대로 616 (삼성동),1522-3232
"63",역삼럭키,37.492209,127.039389,서울특별시 강남구 도곡로 183 (역삼동),1522-3232
"64",차병원사거리,37.508032,127.035373,서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동),1522-3232
"65",청담공원,37.5186549,127.05143870000006,서울특별시 강남구 학동로 506 (삼성동),1522-3232
"66",신압구정,37.528115,127.036441,서울특별시 강남구 언주로174길 29 (신사동),1522-3232
"67",아크로힐스논현,37.50898041,127.0403869,서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동),1522-3232
"68",뱅뱅사거리,37.488585,127.032415,서울특별시 강남구 강남대로 282 (도곡동),1522-3232
"69",강남비젼타워,37.4964557,127.02968850000002,서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동),1522-3232
"70",역삼역,37.50080096,127.0351577,서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동),1522-3232
"71",압구정로데오역,37.526549,127.040437,서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동),1522-3232
"72",르네상스사거리,37.502721,127.044308,서울특별시 강남구 테헤란로 306 (역삼동),1522-3232
"73",포스코,37.50576,127.057966,서울특별시 강남구 삼성로86길 7, 1층 (대치동),1522-3232
"74",선릉로,37.505053,127.046577,서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동),1522-3232
"75",삼성역,37.510015,127.063864,서울특별시 강남구 테헤란로103길 9 (삼성동),1522-3232
"76",논현힐탑,37.5115577,127.03226199999994,서울특별시 강남구 논현로 648 (논현동),1522-3232
"77",도산가로수길,37.51736229999999,127.02329570000006,서울특별시 강남구 도산대로 134, 2층 (논현동),1522-3232
"78",미아뉴타운,37.618319,127.021072,서울특별시 강북구 삼양로 161 (미아동),1522-3232
"79",강북구청사거리,37.6400354,127.0273766,서울특별시 강북구 도봉로 365 (수유동),1522-3232
"80",미아사거리역,37.611809,127.0306971,서울특별시 강북구 도봉로 32 (미아동),1522-3232
"81",수유역,37.6380167,127.02613500000007,서울특별시 강북구 도봉로 342 (번동),1522-3232
"82",미아역,37.626148,127.026578,서울특별시 강북구 도봉로 196 (미아동),1522-3232
"83",발산역사거리,37.558509, 126.835096,서울특별시 강서구 공항대로 248 (마곡동),1522-3232
"84",우장산역,37.549501,126.835984,서울특별시 강서구 강서로 267 (내발산동),1522-3232
"85",마곡사이언스타워R,37.5605261,126.833887,서울특별시 강서구 마곡동로 62 (마곡동),1522-3232
"86",방화DT,37.574339,126.816415,서울특별시 강서구 방화대로 375 (방화동),1522-3232
"87",마곡나루역,37.56813,126.82614,서울특별시 강서구 마곡중앙로 161-17 (마곡동),1522-3232
"88",마곡GMG,37.560487,126.829667,서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호,1522-3232
"89",가양역,37.561640,126.853327,서울특별시 강서구 양천로 476 (등촌동),1522-3232
"90",화곡DT,37.535149,126.863232,서울특별시 강서구 등촌로 57 (화곡동),1522-3232
"91",양천향교역,37.566964,126.840731,서울특별시 강서구 강서로 463 (마곡동),1522-3232
"92",화곡동,37.5405115,126.8372413,서울특별시 강서구 화곡로 142(화곡동),1522-3232
"93",등촌,37.5582043,126.84433919999992,서울특별시 강서구 공항대로 329 (등촌동),1522-3232
"94",염창역,37.547359,126.874436,서울특별시 강서구 공항대로 627 (염창동),1522-3232
"95",발산역,37.56033,126.839279,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,1522-3232
"96",가양이마트,37.5578966,126.86229779999996,서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동),1522-3232
"97",까치산역,37.532303,126.846077,서울특별시 강서구 강서로13길 3 (화곡동),1522-3232
"98",낙성대역,37.477946,126.961193,서울특별시 관악구 남부순환로 1908 (봉천동),1522-3232
"99",관악서울대입구R,37.479343,126.952780,서울특별시 관악구 관악로 158 (봉천동),1522-3232
"100",신림DT,37.480935,126.908407,서울특별시 관악구 남부순환로 1419 (신림동),1522-3232
"101",서울대역,37.481599,126.952200,서울특별시 관악구 남부순환로 1817 (봉천동),1522-3232
"102",낙성대DT,37.476169,126.965005,서울특별시 관악구 남부순환로 1948 (봉천동),1522-3232
"103",사당,37.47601,126.980997,서울특별시 관악구 남부순환로 2082-25,1522-3232
"104",보라매대교,37.491449,126.925432,서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동),1522-3232
"105",신림사거리,37.484768,126.930467,서울특별시 관악구 남부순환로 1619 (신림동),1522-3232
"106",신림,37.48609493,126.9291602,서울특별시 관악구 신림로 355-1 (신림동),1522-3232
"107",신림역포도몰,37.48385383,126.9301799,서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동),1522-3232
"108",서울대입구역,37.48118,126.951324,서울특별시 관악구 남부순환로 1812 (봉천동),1522-3232
"109",건국대,37.5415592,127.0711244,서울특별시 광진구 능동로 117 (화양동),1522-3232
"110",어린이대공원역,37.551946,127.076404,서울시 광진구 능동로243,1522-3232
"111",아차산역,37.5505388,127.0898757,서울시 광진구 천호대로 676,1522-3232
"112",올림픽대교북단,37.541129,127.095240,서울특별시 광진구 광나루로 608 (구의동),1522-3232
"113",구의DT,37.5451984,127.0871587,서울특별시 광진구 광나루로 519 (구의동),1522-3232
"114",자양사거리,37.5371158,127.0825821,서울특별시 광진구 아차산로 355,1522-3232
"115",군자역,37.556965,127.079032,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,1522-3232
"116",광나루,37.547442,127.105934,서울특별시 광진구 아차산로 607, 1,2층 (광장동),1522-3232
"117",건대스타시티,37.538544,127.073009,서울특별시 광진구 아차산로 262 (자양동),1522-3232
"118",자양,37.5354769,127.06914619999998,서울특별시 광진구 능동로 50 (자양동),1522-3232
"119",강변역,37.536155,127.093086,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,1522-3232
"120",건대입구,37.5406604,127.07072249999999,서울특별시 광진구 능동로 107 (화양동),1522-3232
"121",구의역,37.53698,127.084015,서울특별시 광진구 아차산로 373 (구의동),1522-3232
"122",광장,37.542518,127.099651,서울특별시 광진구 아차산로 537-17 (광장동),1522-3232
"123",건국클래식,37.538466,127.071271,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,1522-3232
"124",가산에스케이,37.48061318,126.8805702,서울특별시 금천구 가산디지털1로 171 (가산동),1522-3232
"125",독산사거리,37.471511,126.898775,서울특별시 금천구 시흥대로 426 (독산동),1522-3232
"126",금천시흥,37.448624,126.903183,서울특별시 금천구 시흥대로 164 (시흥동),1522-3232
"127",가산디지털단지역,37.481324,126.883779,서울특별시 금천구 벚꽃로 298 (가산동),1522-3232
"128",금천독산,37.46914,126.895246,서울특별시 금천구 두산로 70 (독산동),1522-3232
"129",가산디지털,37.4798346,126.88249969999992,서울특별시 금천구 가산디지털1로 168 (가산동),1522-3232
"130",W-Mall,37.47730499,126.8876908,서울특별시 금천구 디지털로 188 (가산동),1522-3232
"131",마리오아울렛,37.478701,126.885076,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,1522-3232
"132",가산브이타워,37.477221,126.883683,서울특별시 금천구 가산디지털1로 128 (가산동),1522-3232
"133",가산그레이트,37.4794491,126.88747680000006,서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동),1522-3232
"134",월계역,37.6295,127.0574,서울특별시 노원구 초안산로2라길26 월계동(104,105,106호),1522-3232
"135",월계트레이더스,37.6277053,127.06149779999998,서울시 노원구 마들로3길 15,1522-3232
"136",상계초교사거리,37.656776,127.066442 ,서울 노원구 노원로 449,1522-3232
"137",공릉DT,37.6206884,127.0743116,서울특별시 노원구 동일로 1015 (공릉동),1522-3232
"138",노원마들역,37.660941,127.058008,서울특별시 노원구 노원로 569 (상계동, 임광아파트),1522-3232
"139",공릉역,37.626337,127.072252,서울특별시 노원구 동일로 1081 (공릉동),1522-3232
"140",서울여대,37.626163,127.093084,서울특별시 노원구 화랑로 621 (공릉동),1522-3232
"141",은행사거리,37.65048737,127.0759861,서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동),1522-3232
"142",노원KT,37.654562,127.063617,서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동),1522-3232
"143",광운대,37.6231479,127.06070090000003,서울특별시 노원구 석계로 104 (월계동),1522-3232
"144",중계역,37.64817,127.062244,서울특별시 노원구 동일로 1339, 대한빌딩 (상계동),1522-3232
"145",노원역,37.654751,127.060034,서울특별시 노원구 동일로 1413, 1층 (상계동),1522-3232
"146",월계이마트,37.627155,127.062094,서울특별시 노원구 마들로3길 15 (월계동),1522-3232
"147",창동이마트,37.651645,127.046869,서울특별시 도봉구 노해로65길 4 (창동),1522-3232
"148",쌍문역,37.648456,127.034783,서울특별시 도봉구 도봉로 480 (창동),1522-3232
"149",노량진동,37.513068,126.946537,서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호,1522-3232
"150",남성역,37.4841198,126.9725739,서울특별시 동작구 사당로 219 (사당동),1522-3232
"151",보라매공원R,37.49226212712864,126.92334570798292,서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT),1522-3232
"152",이수자이,37.484414,126.980047,서울특별시 동작구 사당로 300 (사당동 이수자이),1522-3232
"153",노량진역,37.513390,126.940879,서울특별시 동작구 노량진로 134 (노량진동),1522-3232
"154",신대방삼거리역,37.499914,126.931766,서울특별시 동작구 상도로 102 (상도동),1522-3232
"155",중앙대,37.506933,126.958125,서울특별시 동작구 흑석로 75-1 (흑석동),1522-3232
"156",숭실대입구역,37.4968346,126.95271230000003,서울특별시 동작구 상도로 354 (상도동),1522-3232
"157",숭실대,37.49538073,126.9548891,서울특별시 동작구 사당로 4 (상도동),1522-3232
"158",사당역,37.47849216,126.9813456,서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동),1522-3232
"159",서강대프라자,37.551073,126.943096,서울특별시 마포구 백범로 35 (신수동),1522-3232
"160",상암YTN,37.579183,126.892315,서울특별시 마포구 상암산로 76 (상암동),1522-3232
"161",마포용강동,37.541186,126.942209,서울특별시 마포구 토정로 295 (용강동),1522-3232
"162",홍대입구역사거리R,37.554636,126.92036,서울특별시 마포구 양화로 125 (서교동),1522-3232
"163",마포경찰서후문,37.550800,126.953432,서울특별시 마포구 마포대로 173-14 (아현동),1522-3232
"164",공덕,37.545913,126.952956,서울특별시 마포구 마포대로 130 (공덕동),1522-3232
"165",합정폴리스R,37.5509,126.9134,서울특별시 마포구 양화로 45 (서교동, 메세나폴리스),1522-3232
"166",홍대공항철도역,37.557491,126.925146,서울특별시 마포구 양화로 178 (동교동),1522-3232
"167",마포염리,37.543876,126.947680,서울특별시 마포구 독막로 311 (염리동),1522-3232
"168",서강광흥창역,37.549377,126.931661,서울특별시 마포구 서강로 69 (창전동),1522-3232
"169",합정,37.549630,126.912999,서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2,1522-3232
"170",서강대흥역,37.548178,126.941576,서울특별시 마포구 백범로 89-5 (대흥동),1522-3232
"171",서교동사거리,37.553376,126.918564,서울특별시 마포구 양화로 105 (서교동),1522-3232
"172",상암사보이시티,37.581470,126.888983,서울특별시 마포구 월드컵북로54길 17 (상암동),1522-3232
"173",신촌오거리,37.555137,126.934694,서울특별시 마포구 신촌로16길 10 (노고산동),1522-3232
"174",상암디지털큐브,37.5763132,126.8892477,서울특별시 마포구 상암산로 34,1522-3232
"175",상수역,37.5474817,126.92321579999998,서울특별시 마포구 독막로 88 (상수동),1522-3232
"176",공덕오거리,37.5424641,126.95057730000008,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,1522-3232
"177",서교,37.551385,126.9169208,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,1522-3232
"178",서강대,37.5524584,126.9378262,서울특별시 마포구 백범로 23 (신수동),1522-3232
"179",상암MBC,37.581297,126.890908,서울특별시 마포구 성암로 267 (상암동),1522-3232
"180",홍대역,37.557175,126.923654,서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동),1522-3232
"181",동교,37.556928,126.919819,서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동),1522-3232
"182",애오개역,37.55218737,126.9555203,서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동),1522-3232
"183",홍대갤러리,37.55328184,126.9248279,서울특별시 마포구 와우산로 101, 정명빌딩 (서교동),1522-3232
"184",상암DMC,37.577623,126.890684,서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동),1522-3232
"185",마포일진빌딩,37.54043451,126.9463168,서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동),1522-3232
"186",마포아크로,37.54145556,126.948819,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,1522-3232
"187",홍대삼거리,37.550266,126.923179,서울특별시 마포구 와우산로 64 (상수동),1522-3232
"188",망원역,37.555829,126.910637,서울특별시 마포구 월드컵로 74 (서교동),1522-3232
"189",마포이마트,37.542421,126.953341,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,1522-3232
"190",합정메세나몰,37.551004,126.913848,서울특별시 마포구 양화로 45 (서교동, 메세나폴리스),1522-3232
"191",가재울뉴타운,37.5749841,126.9164441,서울 서대문구 가재울미래로 2,1522-3232
"192",신촌역,37.556167,126.934673,서울특별시 서대문구 신촌로 73 (창천동),1522-3232
"193",연희동,37.566702,126.930475,서울특별시 서대문구 연희로 97 (연희동),1522-3232
"194",아현역,37.557820,126.956058,서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지),1522-3232
"195",홍제역,37.588658,126.943864,서울특별시 서대문구 통일로 451 (홍제동),1522-3232
"196",연세백양로,37.562644,126.937529,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,1522-3232
"197",명지대,37.5782618,126.92232330000001,서울특별시 서대문구 거북골로 53 (남가좌동),1522-3232
"198",연희DT,37.5702143,126.9339777,서울특별시 서대문구 연희로 144 (연희동),1522-3232
"199",경기대,37.56367995,126.9646045,서울특별시 서대문구 충정로 53 (충정로2가),1522-3232
"200",신촌대로,37.55624543,126.9392796,서울특별시 서대문구 신촌로 121 (창천동),1522-3232
"201",신촌,37.55648577,126.9371155,서울특별시 서대문구 연세로 10-1 (창천동),1522-3232
"202",이대R,37.55848315,126.9459643,서울특별시 서대문구 이화여대길 34 (대현동),1522-3232
"203",연세종합관,37.56177145,126.9414708,서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동),1522-3232
"204",이대ECC,37.561631,126.947350,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,1522-3232
"205",연대,37.558706,126.936727,서울특별시 서대문구 연세로 35 (창천동),1522-3232
"206",신촌아트레온,37.556505,126.940238,서울특별시 서대문구 신촌로 129 (창천동),1522-3232
"207",충정로역,37.56137,126.963219,서울특별시 서대문구 충정로 23,1522-3232
"208",연대동문,37.566385,126.946273,서울특별시 서대문구 성산로 565 (대신동),1522-3232
"209",신촌명물거리,37.557796,126.938095,서울특별시 서대문구 명물길 24, 1-5층 (창천동),1522-3232
"210",충정타워,37.559869,126.964110,서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가),1522-3232
"211",방배로,37.4793434,126.9994968,서울특별시 서초구 방배로 52 (방배동),1522-3232
"212",강남교보타워R,37.503789,127.024075,서울특별시 서초구 강남대로 465 (서초동),1522-3232
"213",방배다이치빌딩,37.484329,126.995872,서울특별시 서초구 방배로 114 (방배동),1522-3232
"214",센트럴F1,37.505148,127.004395,서울특별시 서초구 신반포로 176 (반포동),1522-3232
"215",서초역이화빌딩,37.487931,127.009126,서울특별시 서초구 반포대로21길 3 (서초동),1522-3232
"216",서초구청,37.484206,127.030103,서울특별시 서초구 남부순환로 2557 (서초동),1522-3232
"217",서초우성사거리,37.493545,127.029430,서울특별시 서초구 강남대로 343 (서초동),1522-3232
"218",이수역사거리,37.485850,126.983027,서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1),1522-3232
"219",강남대로신사,37.514890,127.019469,서울특별시 서초구 강남대로 595 (잠원동),1522-3232
"220",서울고속터미널,37.504406,127.005648,서울특별시 서초구 신반포로 194 (반포동),1522-3232
"221",강남대로논현R,37.507413,127.022568,서울특별시 서초구 강남대로85길 5 (반포동),1522-3232
"222",방배,37.491914,126.99049739999998,서울특별시 서초구 방배로 211,1522-3232
"223",방배카페거리,37.4934767,126.9865297,서울특별시 서초구 방배중앙로 162 (방배동),1522-3232
"224",서초법원,37.492970,127.011875,서울특별시 서초구 서초대로 274 (서초동),1522-3232
"225",청계산입구역,37.447323,127.056250,서울특별시 서초구 청계산로 203 (신원동),1522-3232
"226",사당로데오,37.4772752,126.98216049999996,서울특별시 서초구 방배천로 5-4(방배동),1522-3232
"227",파미에파크R,37.5030521,127.004362,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,1522-3232
"228",교대역,37.494207,127.01394,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,1522-3232
"229",양재역,37.4820475,127.0367682,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,1522-3232
"230",논현역,37.5111983,127.0205875,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,1522-3232
"231",이수역,37.4864664,126.98274029999993,서울특별시 서초구 동작대로 112 (방배동),1522-3232
"232",내방역,37.490004,126.992455,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,1522-3232
"233",서초파라곤,37.494941,127.027422,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,1522-3232
"234",서울아트센터,37.480866,127.012368,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,1522-3232
"235",서초중앙로,37.501691,127.01152,서울특별시 서초구 서초중앙로 225,1522-3232
"236",센트럴시티,37.504707,127.004459,서울특별시 서초구 신반포로 176 (반포동),1522-3232
"237",강남삼성타운,37.49562035,127.0277144,서울특별시 서초구 서초대로78길 24 (서초동),1522-3232
"238",방배역,37.48200755,126.9976438,서울특별시 서초구 방배로 84 (방배동),1522-3232
"239",반포역,37.508589,127.011959,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,1522-3232
"240",남부터미널,37.48467334,127.0169464,서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동),1522-3232
"241",뉴코아강남,37.51031339,127.0069582,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,1522-3232
"242",강남2,37.5000875,127.02549090000002,서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동),1522-3232
"243",교대,37.4923611,127.0142207,서울특별시 서초구 서초중앙로 118 (서초동),1522-3232
"244",하이브랜드,37.46330766,127.0368447,서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동),1522-3232
"245",신논현역,37.50529,127.023636,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,1522-3232
"246",영동2교,37.48203954,127.0425748,서울특별시 서초구 논현로 139, 대흥빌딩 (양재동),1522-3232
"247",남부터미널2,37.48436736,127.0142192,서울특별시 서초구 효령로 274 (서초동),1522-3232
"248",서래마을입구,37.49925284,126.9984801,서울특별시 서초구 서래로 48 (반포동),1522-3232
"249",몬테소리,37.4982695,127.026865,서울특별시 서초구 강남대로 399 (서초동),1522-3232
"250",서초역,37.49067495,127.0086118,서울특별시 서초구 반포대로 118 (서초동),1522-3232
"251",예술의전당,37.48115265,127.0134724,서울특별시 서초구 남부순환로323길 1, 1층 (서초동),1522-3232
"252",교대법원,37.496329,127.013336,서울특별시 서초구 서초중앙로 164 (서초동),1522-3232
"253",강남GT타워,37.498056,127.02583300000003,서울특별시 서초구 서초대로 411, GT타워 (서초동),1522-3232
"254",서초동,37.485941,127.021525,서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동),1522-3232
"255",서울교대,37.487397,127.015134,서울특별시 서초구 서초중앙로 64, 1층 (서초동),1522-3232
"256",강남에비뉴,37.5027,127.023894,서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동),1522-3232
"257",길음역,37.602139,127.025271,서울특별시 성북구 정릉로 376 (돈암동),1522-3232
"258",미아이마트,37.610678,127.029921,서울 성북구 도봉로 17,1522-3232
"259",종암DT,37.5919525,127.0360401,서울특별시 성북구 종암로 17 (종암동),1522-3232
"260",미아,37.607581,127.029303,서울특별시 성북구 동소문로 314 (하월곡동),1522-3232
"261",성신여대정문,37.590910,127.018800,서울특별시 성북구 보문로34길 62 (동선동2가),1522-3232
"262",종암,37.601095,127.033847,서울특별시 성북구 종암로 122 (종암동),1522-3232
"263",삼선교,37.588696,127.00732070000003,서울특별시 성북구 동소문로 10 (동소문동2가),1522-3232
"264",월곡역,37.601718,127.040446,서울특별시 성북구 화랑로 76, 101-1호 (하월곡동),1522-3232
"265",고대,37.58397192,127.0297352,서울특별시 성북구 고려대로 24길 51 (안암동5가),1522-3232
"266",현대미아,37.60837822,127.0287483,서울특별시 성북구 동소문로 315, 현대백화점미아점 지하 1층 (길음동),1522-3232
"267",성신여대,37.593135,127.018379,서울특별시 성북구 동소문로24길 12 (동선동1가),1522-3232
